BusinessName,FHRSID,BusinessType,RatingDate,RatingValue,AddressLine1,AddressLine2,AddressLine3,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
Earl of Lonsdale,334359,Restaurant/Cafe/Canteen,2015-09-09,5,281 Westbourne Grove,LONDON,W11 2QA,5,5,5,-0.20341700000000,51.51329400000000
Earl's Court Chemist,653962,Retailers - other,2014-05-06,5,240 Earl's Court Road,LONDON,SW5 9AA,0,5,0,-0.19315000000000,51.49195000000000
Earl's Court Nursery and Family Centre,334638,Hospitals/Childcare/Caring Premises,2015-11-13,5,65 Philbeach Gardens,LONDON,SW5 9EE,5,5,5,-0.20016400000000,51.49198600000000
Eastern Star,333741,Restaurant/Cafe/Canteen,2016-01-04,4,Ground Floor,14 Hogarth Place,"LONDON, SW5 0QT",5,5,10,-0.19298200000000,51.49291000000000
Eat,439609,Restaurant/Cafe/Canteen,2016-01-11,5,63 Notting Hill Gate,LONDON,W11 3JS,5,0,0,-0.19654600000000,51.50883600000000
Eat Ltd,333639,Restaurant/Cafe/Canteen,2016-07-11,5,Basement And Ground Floor,82 King's Road,"LONDON, SW3 4TZ",5,5,0,-0.16168900000000,51.49087700000000
Eat Neon,510442,Other catering premises,2015-07-30,5,,,,5,0,5,,
Eat Tokyo,455560,Restaurant/Cafe/Canteen,2015-11-16,4,18 Hillgate Street,LONDON,W8 7SR,0,10,10,-0.19772800000000,51.50808100000000
Eats N'Bits,455548,Takeaway/sandwich shop,2016-03-04,3,Shop,Earls Court Station,"Warwick Road, LONDON, SW5 9SY",10,10,10,-0.19355600000000,51.49188500000000
Eclipse,334855,Pub/bar/nightclub,2016-06-06,5,113 Walton Street,LONDON,SW3 2HP,5,5,5,-0.16759600000000,51.49409000000000
Eclipse,334535,Restaurant/Cafe/Canteen,2016-05-24,3,158 Old Brompton Road,LONDON,SW5 0BA,10,10,10,-0.18358000000000,51.49099300000000
Eden Foodservice (Interserve),859468,School/college/university,2016-03-03,5,,,,5,5,0,,
Eden Montessori Nursery,334037,Hospitals/Childcare/Caring Premises,2016-02-12,5,Kensington United Reformed Church,Allen Street,"LONDON, W8 6BL",5,5,5,-0.19485200000000,51.49881100000000
Eden Plaza Kensington,723827,Restaurant/Cafe/Canteen,2014-03-06,5,68-69 Queen's Gate,LONDON,SW7 5JT,5,5,5,-0.17934800000000,51.49489300000000
Edera,499785,Restaurant/Cafe/Canteen,2016-04-12,5,148 Holland Park Avenue,LONDON,W11 4UE,5,5,0,-0.20894300000000,51.50652700000000
Edu Tapas,853765,Other catering premises,2016-04-07,5,,,,5,5,5,,
Egerton House Hotel,334824,Hotel/bed & breakfast/guest house,2016-07-11,5,17-19 Egerton Terrace,LONDON,SW3 2BX,5,5,0,-0.16778200000000,51.49697900000000
Egg Break,766569,Restaurant/Cafe/Canteen,2015-10-08,2,30 Uxbridge Street,LONDON,W8 7TA,15,10,10,-0.19802200000000,51.50832000000000
Eight over Eight,334052,Restaurant/Cafe/Canteen,2015-12-10,4,392 King's Road,LONDON,SW3 5UZ,5,10,5,-0.17673400000000,51.48420600000000
El Gaucho,333546,Restaurant/Cafe/Canteen,2016-03-03,4,Basement,30 Old Brompton Road,"LONDON, SW7 3DL",5,10,5,-0.17530000000000,51.49380500000000
Electric Diner,333455,Restaurant/Cafe/Canteen,2015-12-15,4,191B Portobello Road,LONDON,W11 2ED,5,10,5,-0.20510100000000,51.51554100000000
Elephant & Castle PH,334418,Pub/bar/nightclub,2016-09-01,5,Public House,40-42 Holland Street,"LONDON, W8 4LT",5,5,0,-0.19280500000000,51.50322200000000
Elior,590023,Restaurant/Cafe/Canteen,2015-07-21,5,Town Hall,Hornton Street,"LONDON, W8 7NX",5,5,0,-0.19468400000000,51.50197400000000
Elior UK,699606,School/college/university,2016-09-06,5,Chelsea Academy,Lots Road,"LONDON,",5,5,5,-0.18301700000000,51.47798200000000
Elite Wine and Merchants,333756,Retailers - other,2014-03-25,Exempt,176 Earl's Court Road,LONDON,SW5 9QQ,,,,-0.19515700000000,51.49365400000000
Elixir Juicery Limited,668432,Restaurant/Cafe/Canteen,2014-08-05,4,333 Portobello Road,LONDON,W10 5SA,0,0,10,-0.21053800000000,51.52134300000000
Ellesmere House Care Home,333763,Hospitals/Childcare/Caring Premises,2016-05-19,5,Ellesmere House,9 Nightingale Place,"LONDON,",0,5,0,-0.18024400000000,51.48432300000000
Elystan Street,910724,Restaurant/Cafe/Canteen,,AwaitingInspection,Basement And Ground Floor,43,"LONDON, SW3 3NT",,,,-0.16724800000000,51.49125200000000
Embargo,334828,Restaurant/Cafe/Canteen,2015-02-16,5,533B King's Road,LONDON,SW10 0SZ,5,5,5,-0.18527500000000,51.48022900000000
Embassy Cafe,334947,Restaurant/Cafe/Canteen,2015-06-09,4,1-2 Mortimer Square,LONDON,W11 4BY,5,10,5,-0.21669200000000,51.51030500000000
Embassy News,334574,Retailers - other,2016-04-06,5,16 Notting Hill Gate,LONDON,W11 3JE,5,5,5,-0.19368400000000,51.50977300000000
Ena's Hands at the Dalgarno Trust,875327,School/college/university,2016-06-09,5,Dalgarno Neighbourhood Trust,Webb Close,"LONDON, W10 5QB",5,5,5,-0.22504700000000,51.52448600000000
Enterprise,334590,Restaurant/Cafe/Canteen,2016-03-07,5,35 Walton Street,LONDON,SW3 2HU,,,,-0.16581800000000,51.49531200000000
Essenza,333739,Restaurant/Cafe/Canteen,2016-03-21,5,210 Kensington Park Road,LONDON,W11 1NR,0,5,5,-0.20608300000000,51.51624900000000
Euphorium Bakery,489732,Restaurant/Cafe/Canteen,2016-04-05,5,100A West Cromwell Road,LONDON,W14 8PB,0,5,5,-0.20160600000000,51.49305100000000
Eurest Services,333959,Restaurant/Cafe/Canteen,2015-07-13,5,Northcliffe House,2 Derry Street,"LONDON, W8 5EE",0,0,0,-0.19062700000000,51.50146100000000
Evans and Peel Detective Agency,455546,Restaurant/Cafe/Canteen,2015-08-04,3,Basement,310 Earl's Court Road,"LONDON, SW5 9BA",10,10,10,-0.19122800000000,51.49029300000000
Exhibition Court Hotel IV,334343,Hotel/bed & breakfast/guest house,2016-02-26,4,25 Collingham Place,LONDON,SW5 0QF,0,5,10,-0.18996000000000,51.49392400000000
Exo-Tikka of India,334597,Restaurant/Cafe/Canteen,2014-09-17,4,Ground Floor,35 Stadium Street,"LONDON,",0,10,0,-0.17957700000000,51.47974500000000
Exquisite Range Limited,759144,Distributors/Transporters,2015-02-04,4,Flat B,23 Holland Road,"LONDON, W14 8HJ",5,5,10,-0.20727000000000,51.49739200000000
F J M Calder,334691,Retailers - other,2014-03-03,5,55-57 Notting Hill Gate,LONDON,W11 3JS,0,0,0,-0.19654600000000,51.50883600000000
Fabrique,842221,Restaurant/Cafe/Canteen,2016-02-19,5,212 Portobello Road,LONDON,W11 1LA,5,5,0,-0.20522300000000,51.51646900000000
Fait Maison,333485,Restaurant/Cafe/Canteen,2016-02-22,5,3 Stratford Road,LONDON,W8 6RQ,,,,-0.19285600000000,51.49682000000000
Fait Maison,334286,Restaurant/Cafe/Canteen,2016-01-07,3,50 Gloucester Road,LONDON,SW7 4QT,10,5,10,-0.18406300000000,51.49805100000000
Fait Maison Limited,774021,Restaurant/Cafe/Canteen,2015-08-19,4,144 Gloucester Road,LONDON,SW7 4SZ,5,5,10,-0.18246500000000,51.49366500000000
Falafel King,334918,Takeaway/sandwich shop,2015-03-24,4,274 Portobello Road,LONDON,W10 5TE,0,10,5,-0.20740300000000,51.51931700000000
Falafel Zaki Zaki,334149,Retailers - other,2016-01-15,4,Street Record,Portobello Road,LONDON,5,10,5,,
Falkner House Girls School,334771,School/college/university,2016-09-12,5,School,17-19 Brechin Place,"LONDON, SW7 4QB",5,5,0,-0.18095800000000,51.49135700000000
Farm Girl Cafe,782447,Restaurant/Cafe/Canteen,2015-09-03,5,St Peters Church Hall,59A Portobello Road,"LONDON, W11 3DB",5,5,5,-0.20089000000000,51.51196100000000
Feng Sushi,334986,Restaurant/Cafe/Canteen,2015-10-05,5,101 Notting Hill Gate,LONDON,W11 3JZ,0,5,5,-0.19748700000000,51.50872500000000
Feng Sushi,333416,Restaurant/Cafe/Canteen,2015-09-28,5,218 Fulham Road,LONDON,,5,5,5,-0.18225900000000,51.48545200000000
Fernandez & Wells,409875,Restaurant/Cafe/Canteen,2016-05-05,3,8 Exhibition Road,LONDON,SW7 2HF,5,10,10,-0.17319400000000,51.49495900000000
Fez Mangal,535394,Restaurant/Cafe/Canteen,2015-08-25,5,Ground Floor,104 Ladbroke Grove,"LONDON, W11 1PY",,,,-0.20904200000000,51.51648300000000
Ffiona,334353,Restaurant/Cafe/Canteen,2016-05-12,4,51 Kensington Church Street,LONDON,W8 4BA,5,5,10,-0.19345900000000,51.50417600000000
Field Stores,334580,Retailers - other,2016-04-08,2,138 Chesterton Road,LONDON,W10 6EP,10,15,10,-0.21534100000000,51.51942900000000
Filipino Restaurant,334829,Restaurant/Cafe/Canteen,2015-10-20,3,Basement and Ground Floor,10 Kenway Road,"LONDON, SW5 0RR",10,10,5,-0.19316500000000,51.49303000000000
Finborough Arms,771159,Pub/bar/nightclub,2015-09-15,5,Public House,118 Finborough Road,"LONDON,",5,0,5,-0.18953200000000,51.48617500000000
Fine Food Supermarket,535397,Retailers - other,2015-05-29,3,286 Old Brompton Road,LONDON,SW5 9HR,10,10,5,-0.19225700000000,51.48902300000000
Finlays,334680,Retailers - other,2013-02-20,Exempt,South Kensington Underground Station,Pelham Street,"LONDON, SW7 2NB",,,,-0.17393500000000,51.49408100000000
Finns,334538,Retailers - other,2015-09-17,5,4 Elystan Street,LONDON,SW3 3NS,5,5,5,-0.16611200000000,51.49084700000000
Firezza,333659,Restaurant/Cafe/Canteen,2015-11-25,4,114-116 Finborough Road,LONDON,,5,10,5,-0.18953300000000,51.48617600000000
Firezza,333643,Restaurant/Cafe/Canteen,2016-01-08,5,Ground Floor,12 All Saints Road,"LONDON, W11 1HH",0,5,5,-0.20355200000000,51.51791800000000
Fish House,463323,Takeaway/sandwich shop,2016-03-07,5,29 Pembridge Road,LONDON,W11 3HG,5,5,0,-0.19760800000000,51.51040800000000
Fitchews,905457,Other catering premises,,AwaitingInspection,,,,,,,,
Fitou's Thai And Malaysian Restaurant,333961,Restaurant/Cafe/Canteen,2015-10-20,5,1-3 Dalgarno Gardens,LONDON,W10 5LL,5,5,5,-0.22666800000000,51.52209200000000
Five Fields Restaurant,552040,Restaurant/Cafe/Canteen,2015-04-21,5,Basement to Second Floors,8-9 Blacklands Terrace,"LONDON, SW3 2SP",0,5,5,-0.16097600000000,51.49139600000000
Flat Iron,892480,Restaurant/Cafe/Canteen,,AwaitingInspection,46 Golborne Road,LONDON,W10 5PR,,,,-0.20770500000000,51.52264900000000
Flat Three Restaurant,695901,Restaurant/Cafe/Canteen,2016-07-15,5,120-122 Holland Park Avenue,LONDON,W11 4UA,5,0,0,-0.20763400000000,51.50683000000000
Flora Indica,837773,Restaurant/Cafe/Canteen,2016-08-04,5,242 Old Brompton Road,LONDON,SW5 0DE,5,5,0,-0.18981900000000,51.48985800000000
Food Corner,334435,Retailers - other,2016-05-17,5,Shop,45 Earl's Court Road,"LONDON, W8 6ED",5,5,5,-0.19745000000000,51.49760100000000
Foodland,334801,Retailers - other,2016-08-04,1,Ground Floor,114-116 Finborough Road,"LONDON,",10,15,20,-0.18953300000000,51.48617600000000
Fortevita Limited,814996,Restaurant/Cafe/Canteen,2015-07-01,5,38-42 Harrington Road,LONDON,SW7 3ND,0,0,5,-0.17786700000000,51.49409700000000
Fortune Star Chinese Takeaway,334904,Takeaway/sandwich shop,2015-09-04,3,Ground Floor,75 Barlby Road,"LONDON, W10 6AW",10,10,10,-0.22229200000000,51.52230400000000
Fouberts,333688,Restaurant/Cafe/Canteen,2015-12-09,3,17 Kensington High Street,LONDON,W8 5NP,10,10,10,-0.18829800000000,51.50205500000000
Four Winters,875322,Restaurant/Cafe/Canteen,2016-04-07,5,103 Gloucester Road,LONDON,SW7 4SS,0,0,0,-0.18212500000000,51.49424400000000
Fox & Pheasant PH,334876,Pub/bar/nightclub,2016-06-15,4,Public House,1 Billing Road,"LONDON,",5,10,5,-0.18803900000000,51.48208800000000
Fox Primary School,333764,School/college/university,2015-10-14,4,Kensington Place,LONDON,W8 7PP,0,10,5,-0.19671300000000,51.50750800000000
Franco Manca,803753,Restaurant/Cafe/Canteen,2015-10-19,5,151 Earl's Court Road,LONDON,SW5 9RQ,5,0,0,,
Franco Manca,699612,Restaurant/Cafe/Canteen,2014-12-16,5,91 Old Brompton Road,LONDON,SW7 3LD,0,0,0,-0.17701000000000,51.49246500000000
Frantoio,334568,Restaurant/Cafe/Canteen,2016-02-02,4,397 King's Road,LONDON,,10,5,5,-0.17799200000000,51.48267000000000
French Foodies Limited,653965,Restaurant/Cafe/Canteen,2014-06-11,5,23 Elystan Street,LONDON,SW3 3NT,0,5,0,-0.16724800000000,51.49125200000000
French Relais,869770,Restaurant/Cafe/Canteen,2016-05-12,3,442 King's Road,LONDON,,10,10,5,-0.17837000000000,51.48292800000000
Fresh Bake,699609,Takeaway/sandwich shop,2016-06-20,4,South Kensington Underground Station,Pelham Street,"LONDON, SW7 2ND",10,5,5,-0.17438000000000,51.49410600000000
Friends of Bousfield,846663,School/college/university,2016-02-29,4,Bousfield Primary School,South Bolton Gardens,"LONDON, SW5 0DJ",5,10,0,-0.18613100000000,51.49023200000000
Friends of the Royal Marsden,334763,Takeaway/sandwich shop,2015-05-15,5,Royal Marsden Hospital,203 Fulham Road,"LONDON, SW3 6JJ",0,5,5,-0.17282400000000,51.49088000000000
Fruit Fellaz,815018,Retailers - other,2015-10-23,5,Portobello Green,281 Portobello Road,"LONDON, W10 5TZ",0,0,5,-0.20749400000000,51.51883300000000
Fulham News,455531,Retailers - other,2015-08-10,Exempt,192 Fulham Road,LONDON,,,,,-0.18106300000000,51.48619800000000
Fulham Tarts,815020,Takeaway/sandwich shop,2015-10-28,4,1-1A Kynance Place,LONDON,SW7 4QS,10,0,10,-0.18452600000000,51.49763500000000
Full of Life,746269,Other catering premises,2015-03-20,5,Club,Kensal House,"Ladbroke Grove, LONDON, W10 5BQ",5,0,5,-0.21520300000000,51.52518200000000
Gail's,333712,Restaurant/Cafe/Canteen,2015-03-25,4,138 Portobello Road,LONDON,W11 2DZ,5,10,5,-0.20419800000000,51.51469100000000
Gail's Bakery,489735,Restaurant/Cafe/Canteen,2016-08-04,2,209 King's Road,LONDON,SW3 5ED,10,15,5,-0.16949800000000,51.48688000000000
Gail's Bakery,334293,Restaurant/Cafe/Canteen,2015-09-09,3,45 Thurloe Street,LONDON,SW7 2LQ,10,10,10,-0.17402800000000,51.49463100000000
Gails Ltd,480464,Restaurant/Cafe/Canteen,2016-05-12,2,Ground Floor,341 Fulham Road,"LONDON, SW10 9TW",10,15,10,,
Gainsborough Hotel,333578,Hotel/bed & breakfast/guest house,2015-03-16,5,Hotel,7-11 Queensberry Place,"LONDON, SW7 2DW",5,5,5,-0.17721700000000,51.49485100000000
Galicia Restaurant,334393,Restaurant/Cafe/Canteen,2015-07-17,4,323 Portobello Road,LONDON,W10 5SY,5,5,10,-0.20952100000000,51.52080600000000
Gallery Cafe,333863,Restaurant/Cafe/Canteen,2015-11-16,5,100 Duke Of York Square,LONDON,SW3 4LY,5,5,5,-0.15940400000000,51.49145300000000
Gallery Cafe,333409,Restaurant/Cafe/Canteen,2015-09-26,4,73 Portobello Road,LONDON,W11 2QB,5,5,10,-0.20246900000000,51.51283900000000
Gallery Hotel,334600,Hotel/bed & breakfast/guest house,2015-03-16,5,8-10 Queensberry Place,LONDON,SW7 2EA,5,5,5,-0.17783800000000,51.49482500000000
Gaon,507886,Restaurant/Cafe/Canteen,2016-04-29,2,160 Old Brompton Road,LONDON,SW5 0BA,10,15,10,,
Garden Bar and Grill,333496,Pub/bar/nightclub,2016-03-08,4,41 Bramley Road,LONDON,W10 6SZ,5,5,10,-0.21802000000000,51.51245600000000
Garden Basket,668437,Retailers - other,2014-11-14,5,8 Stratford Road,LONDON,W8 6QD,0,5,5,-0.19299600000000,51.49657900000000
Garden House School,333585,School/college/university,2016-05-19,5,Turks Row,LONDON,SW3 4TW,0,0,0,-0.15788700000000,51.48978300000000
Garden View Hotel,653968,Hotel/bed & breakfast/guest house,2014-11-14,4,Hotel,29-31 Nevern Square,"LONDON, SW5 9PE",10,0,5,-0.19767900000000,51.49179500000000
Garfunkels,334781,Restaurant/Cafe/Canteen,2015-01-22,5,Unit 25 To 26 Gloucester Road Arcade,128 Gloucester Road,"LONDON, SW7 4SF",0,0,0,-0.18355500000000,51.49450900000000
Garnier,455542,Restaurant/Cafe/Canteen,2016-03-04,4,314 Earl's Court Road,LONDON,SW5 9BQ,5,10,5,-0.19084400000000,51.48980200000000
Gasrtovino,837786,Restaurant/Cafe/Canteen,2016-01-04,5,257 King's Road,LONDON,SW3 5EL,5,5,5,-0.17193700000000,51.48602800000000
Gate Cinema,334980,Retailers - other,2015-01-08,5,87 Notting Hill Gate,LONDON,W11 3JZ,5,5,5,-0.19748700000000,51.50872500000000
Gaucho & Galante (Bar),334474,Restaurant/Cafe/Canteen,2015-07-24,5,87-89 Sloane Avenue,LONDON,SW3 3EL,0,5,0,-0.16744900000000,51.49237000000000
Geales,418972,Restaurant/Cafe/Canteen,2015-07-16,3,1 Cale Street,LONDON,SW3 3QT,10,10,10,-0.16606800000000,51.49052300000000
Geales Fish Restaurant,334496,Restaurant/Cafe/Canteen,2015-04-29,4,2-4 Farmer Street,LONDON,W8 7SN,5,5,10,-0.19675100000000,51.50839000000000
Gelato Mio,333794,Restaurant/Cafe/Canteen,2014-12-16,4,138 Holland Park Avenue,LONDON,W11 4UE,10,5,0,-0.20894300000000,51.50652700000000
Gelato Mio,333888,Restaurant/Cafe/Canteen,2016-04-28,3,37-39 Pembridge Road,LONDON,W11 3HG,5,10,10,-0.19760800000000,51.51040800000000
Gelgela,334012,Restaurant/Cafe/Canteen,2016-04-26,4,111 Gloucester Road,LONDON,SW7 4ST,5,5,10,-0.18178800000000,51.49365400000000
Genji Inc,333713,Takeaway/sandwich shop,2014-11-04,4,Whole Foods,63-97 Kensington High Street,"LONDON, W8 5SE",5,10,0,-0.19062700000000,51.50146100000000
Genting Casino Cromwell Mint,334645,Restaurant/Cafe/Canteen,2015-07-08,5,43-45 Cromwell Road,LONDON,SW7 2EF,0,0,5,-0.17791300000000,51.49511400000000
George's Fisheries,556053,Retailers - other,2016-02-11,3,106 Ladbroke Grove,LONDON,W11 1PY,5,10,10,-0.20904200000000,51.51648300000000
Giovanni,716751,Restaurant/Cafe/Canteen,2014-12-15,5,6 Yeoman's Row,LONDON,SW3 2AH,5,5,5,-0.16660300000000,51.49691600000000
Giraffe,333943,Restaurant/Cafe/Canteen,2016-08-24,5,Ground Floor And Mezzanine,120 Holland Park Avenue,"LONDON, W11 4UA",5,5,0,-0.20763400000000,51.50683000000000
Giribizzi,738977,Retailers - other,2015-02-17,Exempt,,,,,,,,
Glendower Preparatory School,334769,School/college/university,2015-06-18,5,Glendower School,87 Queen's Gate,"LONDON, SW7 5JX",0,5,5,-0.17916500000000,51.49404500000000
Gloucester Arms,800802,Pub/bar/nightclub,2015-08-06,4,Public House,34 Gloucester Road,"LONDON, SW7 4RB",5,10,5,-0.18400400000000,51.49915600000000
Goat,653935,Pub/bar/nightclub,2016-02-10,3,333 Fulham Road,LONDON,,5,10,10,-0.17999200000000,51.48631600000000
Golborne Bistro,815019,Restaurant/Cafe/Canteen,2015-11-24,5,102 Golborne Road,LONDON,W10 5PS,5,0,5,-0.20889000000000,51.52184000000000
Golborne Cafe,334387,Restaurant/Cafe/Canteen,2016-06-16,3,78 Golborne Road,LONDON,W10 5PS,10,10,10,,
Golborne Deli,333457,Retailers - other,2015-08-19,4,100 Golborne Road,LONDON,W10 5PS,10,5,5,-0.20889000000000,51.52184000000000
Golborne Fisheries,333677,Retailers - other,2016-05-31,3,Shop,75-77 Golborne Road,"LONDON, W10 5NP",10,10,10,-0.20798900000000,51.52203300000000
Gold Care Homes Residential Care Home,579431,Hospitals/Childcare/Caring Premises,2016-06-20,5,,,,5,5,5,,
Good Earth,334827,Restaurant/Cafe/Canteen,2015-03-25,4,Basement To First Floors,233 Brompton Road,"LONDON, SW3 2EP",5,5,10,-0.16860200000000,51.49665900000000
Goode & Wright Diner,632241,Restaurant/Cafe/Canteen,2015-12-02,5,271 Portobello Road,LONDON,W11 1LR,5,0,5,-0.20679800000000,51.51786000000000
Gordon Ramsay,334395,Restaurant/Cafe/Canteen,2016-01-14,5,68-69 Royal Hospital Road,LONDON,SW3 4HP,0,5,0,-0.16197800000000,51.48548600000000
Gourmet Burger Kitchen,333699,Restaurant/Cafe/Canteen,2016-05-17,5,107 Old Brompton Road,LONDON,SW7 3LE,0,0,0,-0.17797800000000,51.49203000000000
Gourmet Burger Kitchen,333697,Restaurant/Cafe/Canteen,2016-07-14,5,160 Portobello Road,LONDON,W11 2EB,5,5,0,,
Gourmet Burger Kitchen,333681,Restaurant/Cafe/Canteen,2016-07-19,5,163-165 Earl's Court Road,LONDON,SW5 9RF,5,5,0,-0.19346900000000,51.49261200000000
Grain Shop,333566,Restaurant/Cafe/Canteen,2015-04-23,4,269A Portobello Road,LONDON,,5,10,5,-0.20675600000000,51.51782400000000
Gran Caffe Londra,333617,Restaurant/Cafe/Canteen,2016-02-15,5,32 Hans Crescent,LONDON,,5,5,5,-0.16196400000000,51.49979300000000
Granger & Co,333905,Restaurant/Cafe/Canteen,2016-09-12,5,175 Westbourne Grove,LONDON,W11 2SB,5,5,5,-0.19836800000000,51.51451200000000
Granier,848133,Restaurant/Cafe/Canteen,2016-03-02,5,204 Portobello Road,LONDON,W11 1LA,5,5,5,-0.20522300000000,51.51646900000000
Great India Tandoori,640123,Restaurant/Cafe/Canteen,2016-02-22,1,79 Lower Sloane Street,LONDON,,10,15,20,-0.15630300000000,51.49013600000000
Greek Affair,333537,Restaurant/Cafe/Canteen,2016-08-19,4,1 Hillgate Street,LONDON,W8 7SP,0,10,5,-0.19743200000000,51.50829300000000
Green Bean,695896,Mobile caterer,2014-07-31,4,,,,5,10,5,,
Greggs,334373,Manufacturers/packers,2015-10-02,5,238 Portobello Road,LONDON,W11 1LJ,0,5,0,-0.20584200000000,51.51723400000000
Greggs,334912,Manufacturers/packers,2015-03-26,5,Ground Floor,183 Earl's Court Road,"LONDON, SW5 9RD",0,0,0,-0.19296000000000,51.49238800000000
Grenfell Creche and Under 3's Centre,909419,Hospitals/Childcare/Caring Premises,2016-07-05,5,Grenfell Tower,Lancaster West Estate,LONDON,0,0,5,,
Greyhound Public House,334462,Pub/bar/nightclub,2014-12-02,5,Public House,1 Kensington Square,"LONDON, W8 5EP",5,5,0,-0.18924200000000,51.50078400000000
Grill Market,899256,Restaurant/Cafe/Canteen,,AwaitingInspection,212 Kensington Park Road,LONDON,W11 1NR,,,,-0.20608300000000,51.51624900000000
Grill Market Lomax,744676,Restaurant/Cafe/Canteen,2015-02-09,4,293 Fulham Road,LONDON,,0,10,10,-0.17843700000000,51.48737000000000
Grosvenor Casinos Ltd,334895,Restaurant/Cafe/Canteen,2015-03-10,5,Basement,4-18 Harrington Gardens,"LONDON, SW7 4LJ",0,5,0,-0.18332600000000,51.49339000000000
Grounds of Arabica,859483,Restaurant/Cafe/Canteen,,AwaitingInspection,Basement And Ground Floor,11 Bramley Road,"LONDON, W10 6SZ",,,,-0.21802000000000,51.51245600000000
Gusto,640124,Restaurant/Cafe/Canteen,2015-10-29,2,Ground Floor,159 Earl's Court Road,"LONDON, SW5 9RQ",15,10,10,-0.19382900000000,51.49298600000000
GWK CATERING LTD,896230,Other catering premises,2016-06-23,4,,,,0,10,10,,
Haandi Restaurants Limited,334444,Restaurant/Cafe/Canteen,2016-03-01,4,7 Cheval Place,LONDON,SW7 1EW,5,10,5,-0.16694300000000,51.49849500000000
Hache,333781,Restaurant/Cafe/Canteen,2015-07-22,5,329-331 Fulham Road,LONDON,,5,5,5,-0.17999200000000,51.48631600000000
Hamid's Moroccan Fish,334005,Retailers - other,2015-09-29,5,Street Record,Golborne Road,"LONDON, W10 5PW",5,5,5,-0.20687700000000,51.52393200000000
Happy Donuts,912061,Takeaway/sandwich shop,2016-09-06,5,254 Portobello Road,LONDON,W11 1LL,5,5,5,-0.20644900000000,51.51791800000000
Happy Vegetarian,333536,Retailers - other,2015-06-20,5,Street Only Blpu,Portobello Road,"LONDON, W11 3DL",5,5,5,-0.20002600000000,51.51194800000000
Hare and Tortoise,333540,Restaurant/Cafe/Canteen,2016-01-20,3,373 Kensington High Street,LONDON,W14 8QZ,10,5,10,-0.20498900000000,51.49676300000000
Hari's Hairdressers,335005,Restaurant/Cafe/Canteen,2015-05-15,5,305 Brompton Road,LONDON,SW3 2DY,5,5,5,-0.16855800000000,51.49415900000000
Harlesden Cut Price Liquor Store,333595,Retailers - other,2014-03-03,5,81 Golborne Road,LONDON,W10 5NL,5,5,5,-0.20875900000000,51.52151400000000
Harrington Club,333621,Other catering premises,2013-08-19,5,17A Harrington Road,LONDON,SW7 3ES,5,5,5,-0.17516400000000,51.49396500000000
Harrods Restaurants and Food Hall,333782,Retailers - other,2016-02-24,5,Harrods,87-135 Brompton Road,"LONDON,",5,5,0,-0.16305300000000,51.49960300000000
Harrow Club Cafe,526112,Restaurant/Cafe/Canteen,2014-09-15,5,Harrow Club,187 Freston Road,"LONDON, W10 6TH",5,5,5,-0.21983600000000,51.51283400000000
Harvey Nichols Fifth Floor Restaurant and Cafe,334702,Restaurant/Cafe/Canteen,2016-03-17,5,109-125 Knightsbridge,LONDON,,5,5,5,-0.15981700000000,51.50159400000000
Haveli Hotel,335018,Hotel/bed & breakfast/guest house,2016-04-06,4,81 Warwick Road,LONDON,SW5 9HB,0,5,10,-0.19764100000000,51.49093100000000
Hawksmoor,668405,Restaurant/Cafe/Canteen,2015-10-22,4,BASEMENT,3 Yeoman's Row,"LONDON, SW3 2AL",10,5,0,-0.16613900000000,51.49699000000000
Hazel House,334778,Hospitals/Childcare/Caring Premises,2008-06-17,5,67 Warwick Road,LONDON,SW5 9HB,5,5,5,-0.19764100000000,51.49093100000000
Health Craze,334553,Retailers - other,2014-02-04,5,24 Old Brompton Road,LONDON,SW7 3DL,0,5,0,-0.17530000000000,51.49380500000000
Heatherwick Kiosk,859464,Retailers - other,2016-01-13,5,outside Earl's Court Station,Earl's Court Road,"LONDON, SW5 9QA",0,5,5,,
Heathwick Importers,746261,Distributors/Transporters,2015-02-26,5,25A Holland Street,LONDON,W8 4NA,5,5,5,-0.19241100000000,51.50299100000000
Henley House Hotel,334549,Hotel/bed & breakfast/guest house,2016-03-21,5,30 Barkston Gardens,LONDON,SW5 0EN,0,5,0,-0.19121000000000,51.49255000000000
Henry Roots,803756,Restaurant/Cafe/Canteen,2015-10-29,5,Ground Floor,9 Park Walk,"LONDON,",5,5,5,-0.17984500000000,51.48602600000000
Herbal Inn,333701,Retailers - other,2015-08-18,5,260 Kensington High Street,LONDON,W8 6ND,0,0,0,-0.20055800000000,51.49879100000000
Here,333407,Retailers - other,2014-12-12,5,Chelsea Farmers Market,125-135 Sydney Street,"LONDON, SW3 6NR",0,5,0,-0.16977700000000,51.48854800000000
Hereford Arms (The),334738,Pub/bar/nightclub,2016-02-23,5,Public House,127 Gloucester Road,"LONDON, SW7 4TE",5,5,0,-0.18139300000000,51.49309900000000
Heythrop College - Kitchen,668431,School/college/university,2016-08-08,5,Heythrop College,23-24 Kensington Square,"LONDON, W8 5HH",5,5,5,-0.19083400000000,51.50024200000000
